Mount Agent On:
pi@raspberrypi:~ $ indigo_prop_tool list
Server.INFO.VERSION = "2.0-334"
Server.INFO.SERVICE = "raspberrypi"
Server.DRIVERS.indigo_aux_cloudwatcher = OFF
Server.DRIVERS.indigo_focuser_focusdreampro = OFF
Server.DRIVERS.indigo_ccd_altair = OFF
Server.DRIVERS.indigo_ccd_apogee = OFF
Server.DRIVERS.indigo_aux_arteskyflat = OFF
Server.DRIVERS.indigo_system_ascol = OFF
Server.DRIVERS.indigo_agent_alpaca = OFF
Server.DRIVERS.indigo_agent_astap = OFF
Server.DRIVERS.indigo_focuser_astroasis = OFF
Server.DRIVERS.indigo_wheel_astroasis = OFF
Server.DRIVERS.indigo_focuser_astromechanics = OFF
Server.DRIVERS.indigo_aux_astromechanics = OFF
Server.DRIVERS.indigo_agent_astrometry = OFF
Server.DRIVERS.indigo_aux_mgbox = OFF
Server.DRIVERS.indigo_ccd_atik = OFF
Server.DRIVERS.indigo_wheel_atik = OFF
Server.DRIVERS.indigo_agent_auxiliary = OFF
Server.DRIVERS.indigo_dome_baader = OFF
Server.DRIVERS.indigo_focuser_steeldrive2 = OFF
Server.DRIVERS.indigo_ccd_bresser = OFF
Server.DRIVERS.indigo_wheel_quantum = OFF
Server.DRIVERS.indigo_ccd_simulator = OFF
Server.DRIVERS.indigo_focuser_efa = OFF
Server.DRIVERS.indigo_guider_cgusbst4 = OFF
Server.DRIVERS.indigo_agent_config = OFF
Server.DRIVERS.indigo_focuser_dsd = OFF
Server.DRIVERS.indigo_dome_simulator = OFF
Server.DRIVERS.indigo_rotator_simulator = OFF
Server.DRIVERS.indigo_ccd_fli = OFF
Server.DRIVERS.indigo_wheel_fli = OFF
Server.DRIVERS.indigo_focuser_fli = OFF
Server.DRIVERS.indigo_gps_nmea = OFF
Server.DRIVERS.indigo_aux_geoptikflat = OFF
Server.DRIVERS.indigo_gps_gpsd = OFF
Server.DRIVERS.indigo_gps_simulator = OFF
Server.DRIVERS.indigo_agent_guider = OFF
Server.DRIVERS.indigo_aux_joystick = OFF
Server.DRIVERS.indigo_agent_imager = OFF
Server.DRIVERS.indigo_aux_skyalert = OFF
Server.DRIVERS.indigo_dome_skyroof = OFF
Server.DRIVERS.indigo_focuser_ioptron = OFF
Server.DRIVERS.indigo_mount_ioptron = OFF
Server.DRIVERS.indigo_aux_fbc = OFF
Server.DRIVERS.indigo_focuser_lacerta = OFF
Server.DRIVERS.indigo_focuser_lakeside = OFF
Server.DRIVERS.indigo_focuser_lunatico = OFF
Server.DRIVERS.indigo_rotator_lunatico = OFF
Server.DRIVERS.indigo_dome_dragonfly = OFF
Server.DRIVERS.indigo_aux_dragonfly = OFF
Server.DRIVERS.indigo_mount_lx200 = OFF
Server.DRIVERS.indigo_ccd_mallin = OFF
Server.DRIVERS.indigo_wheel_manual = OFF
Server.DRIVERS.indigo_ccd_dsi = OFF
Server.DRIVERS.indigo_focuser_mjkzz = OFF
Server.DRIVERS.indigo_focuser_moonlite = OFF
Server.DRIVERS.indigo_ccd_mi = OFF
Server.DRIVERS.indigo_wheel_mi = OFF
Server.DRIVERS.indigo_agent_mount = ON
Server.DRIVERS.indigo_mount_simulator = OFF
Server.DRIVERS.indigo_focuser_mypro2 = OFF
Server.DRIVERS.indigo_dome_nexdome = OFF
Server.DRIVERS.indigo_dome_beaver = OFF
Server.DRIVERS.indigo_dome_nexdome3 = OFF
Server.DRIVERS.indigo_mount_nexstaraux = OFF
Server.DRIVERS.indigo_mount_nexstar = OFF
Server.DRIVERS.indigo_ccd_ogma = OFF
Server.DRIVERS.indigo_ccd_omegonpro = OFF
Server.DRIVERS.indigo_wheel_optec = OFF
Server.DRIVERS.indigo_aux_flipflat = OFF
Server.DRIVERS.indigo_focuser_optecfl = OFF
Server.DRIVERS.indigo_rotator_optec = OFF
Server.DRIVERS.indigo_focuser_optec = OFF
Server.DRIVERS.indigo_ccd_ssg = OFF
Server.DRIVERS.indigo_focuser_dmfc = OFF
Server.DRIVERS.indigo_rotator_falcon = OFF
Server.DRIVERS.indigo_aux_flatmaster = OFF
Server.DRIVERS.indigo_focuser_fc3 = OFF
Server.DRIVERS.indigo_wheel_indigo = OFF
Server.DRIVERS.indigo_aux_ppb = OFF
Server.DRIVERS.indigo_focuser_prodigy = OFF
Server.DRIVERS.indigo_aux_upb = OFF
Server.DRIVERS.indigo_aux_upb3 = OFF
Server.DRIVERS.indigo_aux_uch = OFF
Server.DRIVERS.indigo_ccd_playerone = OFF
Server.DRIVERS.indigo_wheel_playerone = OFF
Server.DRIVERS.indigo_mount_pmc8 = OFF
Server.DRIVERS.indigo_focuser_primaluce = OFF
Server.DRIVERS.indigo_ccd_ptp = OFF
Server.DRIVERS.indigo_ccd_qhy = OFF
Server.DRIVERS.indigo_wheel_qhy = OFF
Server.DRIVERS.indigo_ccd_qhy2 = OFF
Server.DRIVERS.indigo_focuser_qhy = OFF
Server.DRIVERS.indigo_ccd_qsi = OFF
Server.DRIVERS.indigo_mount_rainbow = OFF
Server.DRIVERS.indigo_aux_rpio = OFF
Server.DRIVERS.indigo_focuser_nfocus = OFF
Server.DRIVERS.indigo_focuser_nstep = OFF
Server.DRIVERS.indigo_ccd_rising = OFF
Server.DRIVERS.indigo_focuser_robofocus = OFF
Server.DRIVERS.indigo_aux_rts = OFF
Server.DRIVERS.indigo_ccd_sbig = OFF
Server.DRIVERS.indigo_agent_scripting = ON
Server.DRIVERS.indigo_aux_dsusb = OFF
Server.DRIVERS.indigo_focuser_fcusb = OFF
Server.DRIVERS.indigo_guider_gpusb = OFF
Server.DRIVERS.indigo_agent_snoop = OFF
Server.DRIVERS.indigo_ccd_ssag = OFF
Server.DRIVERS.indigo_ccd_sx = OFF
Server.DRIVERS.indigo_wheel_sx = OFF
Server.DRIVERS.indigo_ao_sx = OFF
Server.DRIVERS.indigo_ccd_svb2 = OFF
Server.DRIVERS.indigo_ccd_svb = ON
Server.DRIVERS.indigo_mount_synscan = ON
Server.DRIVERS.indigo_mount_temma = OFF
Server.DRIVERS.indigo_dome_talon6ror = OFF
Server.DRIVERS.indigo_ccd_touptek = OFF
Server.DRIVERS.indigo_wheel_trutek = OFF
Server.DRIVERS.indigo_aux_sqm = OFF
Server.DRIVERS.indigo_aux_usbdp = OFF
Server.DRIVERS.indigo_focuser_usbv3 = OFF
Server.DRIVERS.indigo_ccd_uvc = OFF
Server.DRIVERS.indigo_mount_starbook = OFF
Server.DRIVERS.indigo_rotator_wa = OFF
Server.DRIVERS.indigo_aux_wbplusv3 = OFF
Server.DRIVERS.indigo_aux_wbprov3 = OFF
Server.DRIVERS.indigo_aux_wcv4ec = OFF
Server.DRIVERS.indigo_focuser_wemacro = OFF
Server.DRIVERS.indigo_wheel_xagyl = OFF
Server.DRIVERS.indigo_mount_asi = OFF
Server.DRIVERS.indigo_ccd_asi = OFF
Server.DRIVERS.indigo_wheel_asi = OFF
Server.DRIVERS.indigo_focuser_asi = OFF
Server.DRIVERS.indigo_guider_asi = OFF
Server.DRIVERS.indigo_rotator_asi = OFF
Server.DRIVERS.indigo_aux_asiair = OFF
Server.LOAD.DRIVER = ""
Server.UNLOAD.DRIVER = ""
Server.RESTART.RESTART = OFF
Server.LOG_LEVEL.ERROR = ON
Server.LOG_LEVEL.INFO = OFF
Server.LOG_LEVEL.DEBUG = OFF
Server.LOG_LEVEL.TRACE_BUS = OFF
Server.LOG_LEVEL.TRACE = OFF
Server.BLOB_BUFFERING.DISABLED = OFF
Server.BLOB_BUFFERING.ENABLED = ON
Server.BLOB_BUFFERING.COMPRESSION = OFF
Server.BLOB_PROXY.DISABLED = ON
Server.BLOB_PROXY.ENABLED = OFF
Server.FEATURES.BONJOUR = ON
Server.FEATURES.CTRL_PANEL = ON
Server.FEATURES.WEB_APPS = ON
Mount Agent.GEOGRAPHIC_COORDINATES.LATITUDE = 39.099722
Mount Agent.GEOGRAPHIC_COORDINATES.LONGITUDE = 265.421389
Mount Agent.GEOGRAPHIC_COORDINATES.ELEVATION = 150.000000
Mount Agent.AGENT_SITE_DATA_SOURCE.HOST = ON
Mount Agent.AGENT_SITE_DATA_SOURCE.MOUNT = OFF
Mount Agent.AGENT_SITE_DATA_SOURCE.DOME = OFF
Mount Agent.AGENT_SITE_DATA_SOURCE.GPS = OFF
Mount Agent.AGENT_SET_HOST_TIME.MOUNT = ON
Mount Agent.AGENT_SET_HOST_TIME.DOME = OFF
Mount Agent.ABORT_RELATED_PROCESS.IMAGER = OFF
Mount Agent.ABORT_RELATED_PROCESS.GUIDER = OFF
Mount Agent.AGENT_LX200_SERVER.STOPPED = ON
Mount Agent.AGENT_LX200_SERVER.STARTED = OFF
Mount Agent.AGENT_LX200_CONFIGURATION.PORT = 4030.000000
Mount Agent.AGENT_LX200_CONFIGURATION.EPOCH = 0.000000
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872397
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.358611
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.AGENT_MOUNT_FOV.ANGLE = 0.000000
Mount Agent.AGENT_MOUNT_FOV.WIDTH = 0.000000
Mount Agent.AGENT_MOUNT_FOV.HEIGHT = 0.000000
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717550
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.698788
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032265
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539641
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224957
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314020
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872397
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491335
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099950
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508067
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467566
Mount Agent.AGENT_FIELD_DEROTATION.ENABLED = OFF
Mount Agent.AGENT_FIELD_DEROTATION.DISABLED = ON
Mount Agent.AGENT_START_PROCESS.SLEW = OFF
Mount Agent.AGENT_START_PROCESS.SYNC = OFF
Mount Agent.AGENT_ABORT_PROCESS.ABORT = OFF
Mount Agent.AGENT_PROCESS_FEATURES.ENABLE_HA_LIMIT = OFF
Mount Agent.AGENT_PROCESS_FEATURES.ENABLE_TIME_LIMIT = OFF
Mount Agent.FILTER_ROTATOR_LIST.NONE = ON
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717550
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.698788
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032265
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539641
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224957
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314020
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872397
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491335
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099950
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508067
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467566
