nkahassai@KAHASSAI-UNC:~$ indigo_prop_tool list
Server.INFO.VERSION = "2.0-334"
Server.INFO.SERVICE = "KAHASSAI-UNC"
Server.DRIVERS.indigo_aux_cloudwatcher = OFF
Server.DRIVERS.indigo_focuser_focusdreampro = OFF
Server.DRIVERS.indigo_ccd_altair = OFF
Server.DRIVERS.indigo_ccd_apogee = OFF
Server.DRIVERS.indigo_aux_arteskyflat = OFF
Server.DRIVERS.indigo_system_ascol = OFF
Server.DRIVERS.indigo_agent_alpaca = OFF
Server.DRIVERS.indigo_agent_astap = OFF
Server.DRIVERS.indigo_focuser_astroasis = OFF
Server.DRIVERS.indigo_wheel_astroasis = OFF
Server.DRIVERS.indigo_focuser_astromechanics = OFF
Server.DRIVERS.indigo_aux_astromechanics = OFF
Server.DRIVERS.indigo_agent_astrometry = OFF
Server.DRIVERS.indigo_aux_mgbox = OFF
Server.DRIVERS.indigo_ccd_atik = OFF
Server.DRIVERS.indigo_wheel_atik = OFF
Server.DRIVERS.indigo_agent_auxiliary = OFF
Server.DRIVERS.indigo_dome_baader = OFF
Server.DRIVERS.indigo_focuser_steeldrive2 = OFF
Server.DRIVERS.indigo_ccd_bresser = OFF
Server.DRIVERS.indigo_wheel_quantum = OFF
Server.DRIVERS.indigo_ccd_simulator = OFF
Server.DRIVERS.indigo_focuser_efa = OFF
Server.DRIVERS.indigo_guider_cgusbst4 = OFF
Server.DRIVERS.indigo_agent_config = OFF
Server.DRIVERS.indigo_focuser_dsd = OFF
Server.DRIVERS.indigo_dome_simulator = OFF
Server.DRIVERS.indigo_rotator_simulator = OFF
Server.DRIVERS.indigo_ccd_fli = OFF
Server.DRIVERS.indigo_wheel_fli = OFF
Server.DRIVERS.indigo_focuser_fli = OFF
Server.DRIVERS.indigo_gps_nmea = OFF
Server.DRIVERS.indigo_aux_geoptikflat = OFF
Server.DRIVERS.indigo_gps_gpsd = OFF
Server.DRIVERS.indigo_gps_simulator = OFF
Server.DRIVERS.indigo_agent_guider = OFF
Server.DRIVERS.indigo_aux_joystick = OFF
Server.DRIVERS.indigo_agent_imager = OFF
Server.DRIVERS.indigo_aux_skyalert = OFF
Server.DRIVERS.indigo_dome_skyroof = OFF
Server.DRIVERS.indigo_focuser_ioptron = OFF
Server.DRIVERS.indigo_mount_ioptron = OFF
Server.DRIVERS.indigo_aux_fbc = OFF
Server.DRIVERS.indigo_focuser_lacerta = OFF
Server.DRIVERS.indigo_focuser_lakeside = OFF
Server.DRIVERS.indigo_focuser_lunatico = OFF
Server.DRIVERS.indigo_rotator_lunatico = OFF
Server.DRIVERS.indigo_dome_dragonfly = OFF
Server.DRIVERS.indigo_aux_dragonfly = OFF
Server.DRIVERS.indigo_mount_lx200 = OFF
Server.DRIVERS.indigo_ccd_mallin = OFF
Server.DRIVERS.indigo_wheel_manual = OFF
Server.DRIVERS.indigo_ccd_dsi = OFF
Server.DRIVERS.indigo_focuser_mjkzz = OFF
Server.DRIVERS.indigo_focuser_moonlite = OFF
Server.DRIVERS.indigo_ccd_mi = OFF
Server.DRIVERS.indigo_wheel_mi = OFF
Server.DRIVERS.indigo_agent_mount = OFF
Server.DRIVERS.indigo_mount_simulator = ON
Server.DRIVERS.indigo_focuser_mypro2 = OFF
Server.DRIVERS.indigo_dome_nexdome = OFF
Server.DRIVERS.indigo_dome_beaver = OFF
Server.DRIVERS.indigo_dome_nexdome3 = OFF
Server.DRIVERS.indigo_mount_nexstaraux = OFF
Server.DRIVERS.indigo_mount_nexstar = OFF
Server.DRIVERS.indigo_ccd_ogma = OFF
Server.DRIVERS.indigo_ccd_omegonpro = OFF
